frame,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5054767727851868,0.5151824355125427,1.2831097251364554e-07,0.46595507860183716,0.5396699905395508,-0.0069488766603171825,0.4489310681819916,0.6075188517570496,-0.01840604841709137,0.4525699019432068,0.6697177886962891,-0.02711368165910244,0.46142056584358215,0.7115110158920288,-0.03744105249643326,0.4553857743740082,0.6004534363746643,-0.04902948439121246,0.43854203820228577,0.6912580132484436,-0.06374475359916687,0.429593026638031,0.7440388202667236,-0.07099766284227371,0.42241767048835754,0.7861407995223999,-0.07551516592502594,0.4859253168106079,0.602981686592102,-0.05052347481250763,0.47970879077911377,0.7064957618713379,-0.06256769597530365,0.4747982323169708,0.7626851201057434,-0.06347150355577469,0.47393447160720825,0.8010944724082947,-0.06567556411027908,0.5115669369697571,0.6050703525543213,-0.04919292777776718,0.49783462285995483,0.6999590992927551,-0.055380094796419144,0.48609936237335205,0.6900349855422974,-0.047374896705150604,0.4836912155151367,0.6649187803268433,-0.042165640741586685,0.5306251049041748,0.6074258089065552,-0.04800809174776077,0.5138241648674011,0.6818490624427795,-0.052125778049230576,0.5033701062202454,0.6749749779701233,-0.045268695801496506,0.5002105832099915,0.6531364321708679,-0.03987019136548042
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5054767727851868,0.5151824355125427,1.2831097251364554e-07,0.46595507860183716,0.5396699905395508,-0.0069488766603171825,0.4489310681819916,0.6075188517570496,-0.01840604841709137,0.4525699019432068,0.6697177886962891,-0.02711368165910244,0.46142056584358215,0.7115110158920288,-0.03744105249643326,0.4553857743740082,0.6004534363746643,-0.04902948439121246,0.43854203820228577,0.6912580132484436,-0.06374475359916687,0.429593026638031,0.7440388202667236,-0.07099766284227371,0.42241767048835754,0.7861407995223999,-0.07551516592502594,0.4859253168106079,0.602981686592102,-0.05052347481250763,0.47970879077911377,0.7064957618713379,-0.06256769597530365,0.4747982323169708,0.7626851201057434,-0.06347150355577469,0.47393447160720825,0.8010944724082947,-0.06567556411027908,0.5115669369697571,0.6050703525543213,-0.04919292777776718,0.49783462285995483,0.6999590992927551,-0.055380094796419144,0.48609936237335205,0.6900349855422974,-0.047374896705150604,0.4836912155151367,0.6649187803268433,-0.042165640741586685,0.5306251049041748,0.6074258089065552,-0.04800809174776077,0.5138241648674011,0.6818490624427795,-0.052125778049230576,0.5033701062202454,0.6749749779701233,-0.045268695801496506,0.5002105832099915,0.6531364321708679,-0.03987019136548042
3,0.4963943362236023,0.503987729549408,-3.356815909683064e-07,0.4945945739746094,0.553474485874176,-0.01665225625038147,0.4977611303329468,0.6395514011383057,-0.04395404830574989,0.497169554233551,0.7329667806625366,-0.06874322146177292,0.4864720106124878,0.7944572567939758,-0.09844594448804855,0.4838560223579407,0.6045773029327393,-0.07737433165311813,0.4686973989009857,0.705756425857544,-0.09835966676473618,0.45306336879730225,0.769189178943634,-0.11442065984010696,0.44545820355415344,0.8151702880859375,-0.12455973774194717,0.4910098910331726,0.6113053560256958,-0.07837443053722382,0.4845832884311676,0.7193857431411743,-0.09187814593315125,0.4778178632259369,0.7680418491363525,-0.09874443709850311,0.47354060411453247,0.7963917851448059,-0.10829699039459229,0.49775466322898865,0.6125501394271851,-0.0750776007771492,0.49494418501853943,0.7012811303138733,-0.07932154089212418,0.4925982654094696,0.7217514514923096,-0.07650841027498245,0.49113109707832336,0.7305845618247986,-0.07970323413610458,0.5025035738945007,0.612067461013794,-0.07283627241849899,0.4945555031299591,0.6891705989837646,-0.07174407690763474,0.49030569195747375,0.711288571357727,-0.06164166331291199,0.4872475564479828,0.7225381135940552,-0.05821314826607704,0.5115880966186523,0.5138322114944458,1.0512004422480459e-07,0.46868696808815,0.5313609838485718,-0.00880611315369606,0.44704771041870117,0.5975046753883362,-0.021087996661663055,0.44859880208969116,0.6659542918205261,-0.02995220758020878,0.4553981423377991,0.7111048698425293,-0.04083745926618576,0.45645225048065186,0.5851187705993652,-0.04921220615506172,0.43962764739990234,0.6781666278839111,-0.06288834661245346,0.42880716919898987,0.7325371503829956,-0.06950413435697556,0.4199095368385315,0.7750126719474792,-0.07367055118083954,0.4857718348503113,0.5884730219841003,-0.04890117421746254,0.4795140326023102,0.7017346024513245,-0.06148470193147659,0.47364968061447144,0.7633113861083984,-0.0626930370926857,0.4713793992996216,0.8039490580558777,-0.06456860154867172,0.5112102627754211,0.5930038094520569,-0.04567277804017067,0.4967195391654968,0.6883376836776733,-0.053010400384664536,0.48389148712158203,0.6874051094055176,-0.046142999082803726,0.4791434407234192,0.6696622371673584,-0.0409250408411026,0.5301835536956787,0.6004636287689209,-0.042310964316129684,0.5128843188285828,0.6757458448410034,-0.04691300913691521,0.5014088153839111,0.6744812726974487,-0.03995441272854805,0.49568498134613037,0.6563480496406555,-0.034027837216854095
4,0.4963943362236023,0.503987729549408,-3.356815909683064e-07,0.4945945739746094,0.553474485874176,-0.01665225625038147,0.4977611303329468,0.6395514011383057,-0.04395404830574989,0.497169554233551,0.7329667806625366,-0.06874322146177292,0.4864720106124878,0.7944572567939758,-0.09844594448804855,0.4838560223579407,0.6045773029327393,-0.07737433165311813,0.4686973989009857,0.705756425857544,-0.09835966676473618,0.45306336879730225,0.769189178943634,-0.11442065984010696,0.44545820355415344,0.8151702880859375,-0.12455973774194717,0.4910098910331726,0.6113053560256958,-0.07837443053722382,0.4845832884311676,0.7193857431411743,-0.09187814593315125,0.4778178632259369,0.7680418491363525,-0.09874443709850311,0.47354060411453247,0.7963917851448059,-0.10829699039459229,0.49775466322898865,0.6125501394271851,-0.0750776007771492,0.49494418501853943,0.7012811303138733,-0.07932154089212418,0.4925982654094696,0.7217514514923096,-0.07650841027498245,0.49113109707832336,0.7305845618247986,-0.07970323413610458,0.5025035738945007,0.612067461013794,-0.07283627241849899,0.4945555031299591,0.6891705989837646,-0.07174407690763474,0.49030569195747375,0.711288571357727,-0.06164166331291199,0.4872475564479828,0.7225381135940552,-0.05821314826607704,0.5115880966186523,0.5138322114944458,1.0512004422480459e-07,0.46868696808815,0.5313609838485718,-0.00880611315369606,0.44704771041870117,0.5975046753883362,-0.021087996661663055,0.44859880208969116,0.6659542918205261,-0.02995220758020878,0.4553981423377991,0.7111048698425293,-0.04083745926618576,0.45645225048065186,0.5851187705993652,-0.04921220615506172,0.43962764739990234,0.6781666278839111,-0.06288834661245346,0.42880716919898987,0.7325371503829956,-0.06950413435697556,0.4199095368385315,0.7750126719474792,-0.07367055118083954,0.4857718348503113,0.5884730219841003,-0.04890117421746254,0.4795140326023102,0.7017346024513245,-0.06148470193147659,0.47364968061447144,0.7633113861083984,-0.0626930370926857,0.4713793992996216,0.8039490580558777,-0.06456860154867172,0.5112102627754211,0.5930038094520569,-0.04567277804017067,0.4967195391654968,0.6883376836776733,-0.053010400384664536,0.48389148712158203,0.6874051094055176,-0.046142999082803726,0.4791434407234192,0.6696622371673584,-0.0409250408411026,0.5301835536956787,0.6004636287689209,-0.042310964316129684,0.5128843188285828,0.6757458448410034,-0.04691300913691521,0.5014088153839111,0.6744812726974487,-0.03995441272854805,0.49568498134613037,0.6563480496406555,-0.034027837216854095
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5143547058105469,0.5125517249107361,1.0333044642152345e-08,0.47071966528892517,0.5301482677459717,-0.00618257001042366,0.4468892216682434,0.5929325819015503,-0.017991425469517708,0.4459115266799927,0.6609920263290405,-0.027082940563559532,0.4504757523536682,0.7058060169219971,-0.037934839725494385,0.45451676845550537,0.583384096622467,-0.046709589660167694,0.4367692172527313,0.6794078946113586,-0.05989569053053856,0.42793065309524536,0.7320817112922668,-0.06544969230890274,0.4199972152709961,0.7733122110366821,-0.0688633844256401,0.4832082986831665,0.5865138173103333,-0.04796746373176575,0.4768473505973816,0.7012284994125366,-0.06088243052363396,0.4730446934700012,0.7579147815704346,-0.06119389459490776,0.47098663449287415,0.7951194643974304,-0.06220042705535889,0.5084024667739868,0.5913081765174866,-0.04618913307785988,0.4938461184501648,0.6840003728866577,-0.05396496132016182,0.4832949638366699,0.6793547868728638,-0.045832663774490356,0.4793383777141571,0.6611519455909729,-0.03977691009640694,0.5275214910507202,0.5985018014907837,-0.044045355170965195,0.5118796229362488,0.6708787083625793,-0.048244453966617584,0.502846896648407,0.6644908785820007,-0.0396156907081604,0.49899768829345703,0.6430540084838867,-0.03243226930499077
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50315922498703,0.5036028623580933,1.5696159039180202e-07,0.4669075608253479,0.5293272733688354,-0.008599734865128994,0.45042550563812256,0.6000160574913025,-0.019920025020837784,0.450425386428833,0.6649945378303528,-0.02821383625268936,0.4485054910182953,0.7092417478561401,-0.03767399862408638,0.45397597551345825,0.5854398012161255,-0.049808695912361145,0.4360979199409485,0.6776785254478455,-0.0652870461344719,0.4258407652378082,0.7284582257270813,-0.07244797050952911,0.4173291027545929,0.7694567441940308,-0.07678572088479996,0.4839593172073364,0.5864331722259521,-0.050496965646743774,0.47553953528404236,0.6962450742721558,-0.0633028969168663,0.4710913300514221,0.7556082010269165,-0.06491793692111969,0.4708063304424286,0.7956313490867615,-0.06771138310432434,0.5096225738525391,0.588784396648407,-0.04862436279654503,0.4940871000289917,0.6892959475517273,-0.056915756314992905,0.48464637994766235,0.678625226020813,-0.04922043904662132,0.48347708582878113,0.652657151222229,-0.04364657774567604,0.5290319323539734,0.593356192111969,-0.04689027741551399,0.5111616849899292,0.6710652709007263,-0.0538586862385273,0.5030564069747925,0.6613689064979553,-0.04811470955610275,0.5020772218704224,0.6372953057289124,-0.04293186590075493
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50315922498703,0.5036028623580933,1.5696159039180202e-07,0.4669075608253479,0.5293272733688354,-0.008599734865128994,0.45042550563812256,0.6000160574913025,-0.019920025020837784,0.450425386428833,0.6649945378303528,-0.02821383625268936,0.4485054910182953,0.7092417478561401,-0.03767399862408638,0.45397597551345825,0.5854398012161255,-0.049808695912361145,0.4360979199409485,0.6776785254478455,-0.0652870461344719,0.4258407652378082,0.7284582257270813,-0.07244797050952911,0.4173291027545929,0.7694567441940308,-0.07678572088479996,0.4839593172073364,0.5864331722259521,-0.050496965646743774,0.47553953528404236,0.6962450742721558,-0.0633028969168663,0.4710913300514221,0.7556082010269165,-0.06491793692111969,0.4708063304424286,0.7956313490867615,-0.06771138310432434,0.5096225738525391,0.588784396648407,-0.04862436279654503,0.4940871000289917,0.6892959475517273,-0.056915756314992905,0.48464637994766235,0.678625226020813,-0.04922043904662132,0.48347708582878113,0.652657151222229,-0.04364657774567604,0.5290319323539734,0.593356192111969,-0.04689027741551399,0.5111616849899292,0.6710652709007263,-0.0538586862385273,0.5030564069747925,0.6613689064979553,-0.04811470955610275,0.5020772218704224,0.6372953057289124,-0.04293186590075493
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5058678388595581,0.5077532529830933,1.6194785246170795e-07,0.4634518027305603,0.5303114652633667,-0.007416603621095419,0.444246768951416,0.5988125205039978,-0.018989918753504753,0.4482139050960541,0.6606901288032532,-0.027692820876836777,0.45622438192367554,0.6969910264015198,-0.03838760405778885,0.4533141851425171,0.585787832736969,-0.04898829758167267,0.4347814917564392,0.6734429597854614,-0.06286010891199112,0.4233229160308838,0.7257639169692993,-0.07008876651525497,0.41416803002357483,0.7666501402854919,-0.07499062269926071,0.4829549491405487,0.5865135788917542,-0.049572382122278214,0.47595077753067017,0.6966234445571899,-0.060922469943761826,0.46947920322418213,0.7578277587890625,-0.06294658035039902,0.46735766530036926,0.7973505258560181,-0.06642408668994904,0.5084685683250427,0.5886995792388916,-0.047085605561733246,0.49273544549942017,0.6844385862350464,-0.052693095058202744,0.48037511110305786,0.6787665486335754,-0.04621579125523567,0.47734275460243225,0.654653787612915,-0.04216744378209114,0.5274601578712463,0.5941646695137024,-0.044559597969055176,0.5090616345405579,0.6705439686775208,-0.049018844962120056,0.49876725673675537,0.6640093922615051,-0.043174758553504944,0.49591064453125,0.6398480534553528,-0.038505081087350845
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5046998262405396,0.5021677017211914,1.6708007422039373e-07,0.46397700905799866,0.5268888473510742,-0.008654685690999031,0.4453178346157074,0.596642017364502,-0.021774975582957268,0.44876816868782043,0.660616934299469,-0.03178293630480766,0.4557555913925171,0.7015038728713989,-0.04375221207737923,0.4523584246635437,0.5816383361816406,-0.05168275162577629,0.4343280792236328,0.6707825660705566,-0.06687075644731522,0.4230519235134125,0.7233179807662964,-0.07507852464914322,0.41385671496391296,0.7650899887084961,-0.08055881410837173,0.4820123612880707,0.5802814364433289,-0.05214390531182289,0.4750629961490631,0.6901083588600159,-0.0650700032711029,0.4686008095741272,0.7514534592628479,-0.06783279031515121,0.4665416181087494,0.7924275398254395,-0.07184703648090363,0.5084125995635986,0.5822766423225403,-0.049478039145469666,0.4926963448524475,0.6821602582931519,-0.05649543181061745,0.48125478625297546,0.6764598488807678,-0.04920462146401405,0.4787469804286957,0.653053879737854,-0.04449817165732384,0.5287972688674927,0.5889475345611572,-0.04683086648583412,0.5101937651634216,0.6671082973480225,-0.051881905645132065,0.5003311038017273,0.6598801016807556,-0.045193057507276535,0.49754875898361206,0.6356039643287659,-0.039900753647089005
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5046998262405396,0.5021677017211914,1.6708007422039373e-07,0.46397700905799866,0.5268888473510742,-0.008654685690999031,0.4453178346157074,0.596642017364502,-0.021774975582957268,0.44876816868782043,0.660616934299469,-0.03178293630480766,0.4557555913925171,0.7015038728713989,-0.04375221207737923,0.4523584246635437,0.5816383361816406,-0.05168275162577629,0.4343280792236328,0.6707825660705566,-0.06687075644731522,0.4230519235134125,0.7233179807662964,-0.07507852464914322,0.41385671496391296,0.7650899887084961,-0.08055881410837173,0.4820123612880707,0.5802814364433289,-0.05214390531182289,0.4750629961490631,0.6901083588600159,-0.0650700032711029,0.4686008095741272,0.7514534592628479,-0.06783279031515121,0.4665416181087494,0.7924275398254395,-0.07184703648090363,0.5084125995635986,0.5822766423225403,-0.049478039145469666,0.4926963448524475,0.6821602582931519,-0.05649543181061745,0.48125478625297546,0.6764598488807678,-0.04920462146401405,0.4787469804286957,0.653053879737854,-0.04449817165732384,0.5287972688674927,0.5889475345611572,-0.04683086648583412,0.5101937651634216,0.6671082973480225,-0.051881905645132065,0.5003311038017273,0.6598801016807556,-0.045193057507276535,0.49754875898361206,0.6356039643287659,-0.039900753647089005
